cs-CZ	Česky	/servisni-stranka	Servisní stránka	service, page, service page	Co o vás prozrazuje váš počítač a prohlížeč.	A13: Servisní stránka	
da-DK	Dansk	/anvendelse-rejseparloer-stater	Brugen af rejseparløren	rejse, brug, fremmed, stat, land, konversation, sprog	Alle lande (stater), hvor du kan tale med fremmedsprog fra vores Rejseparlør.	A5: Uplatnění	Anvendelse
da-DK	Dansk	/egenskaber-konversation	Rejseparlørens egenskaber	egenskaber, konversation, rejse	Applikation Rejseparlør indeholder 22 sprog	A2: Vlastnosti	Applikationens egenskaber
da-DK	Dansk	/hvordan-ser-konversation-ud	Eksempler	eksempel, på, af, rejsekonversationen	Rejseparløren gør muligt at studere op til 22 sprog	A3: Náhled	Applikationens preview
da-DK	Dansk	/hvordan-ser-konversation-ud-android	Android: Eksempler	eksempel, på, af, rejsekonversationen, android	Rejseparløren gør muligt at studere op til 22 sprog	A32: Náhled Android	Android
da-DK	Dansk	/hvordan-ser-konversation-ud-windows8	Windows 8: Eksempler	eksempel, på, af, rejsekonversationen, windows 8	Rejseparløren gør muligt at studere op til 22 sprog	A31: Náhled W8	Windows 8
da-DK	Dansk	/kontakt-saetninger	Kontakter	kontakt	Skriv til forfatterne af Rejseparløren angående de ideer du har fået ved brugen af applikationen	A8: Kontakt	
da-DK	Dansk	/rejseparloer	Indledning til SmartPhrase	konversationen, indledning, rejse	Almene informationer om rejseparløren SmartPhrase	A1: Start	Rejseparlør
da-DK	Dansk	/support-saetninger-android	Android: Support og FAQ Rejseparlør	faq, support, applikation, windows 8	Hvis du har problemer med applikationen, spørg os og vi vil hjælpe dig.	A42: Podpora Android	Android
da-DK	Dansk	/support-saetninger-windows8	Windows 8: Support og FAQ Rejseparlør	faq, support, applikation, android	Hvis du har problemer med applikationen, spørg os og vi vil hjælpe dig.	A41: Podpora Windows8	Windows 8
da-DK	Dansk	/hvordan-ser-ipad-konversation-ud	Eksempler til iPhone	eksempel på demo af rejsekonversationen	Rejseparløren til iPhone eller iPad gør muligt at studere op til 22 sprog	A33: Náhled iOS	iOS
da-DK	Dansk	/support-saetninger-iphone	iOS: Support og FAQ Rejseparlør	faq support applikation iphone ipad	Hvis du har problemer med applikationen til iPhone eller iPad, spørg os og vi vil hjælpe dig.	A43: Podpora iOS	iOS
da-DK	Dansk	/support-saetninger	Support og FAQ Rejseparlør	faq, support, applikation	Hvis du har problemer med applikationen, spørg os og vi vil hjælpe dig.	A4: Podpora	Support
da-DK	Dansk	/da-sitemap	Site map	sitemap	Site map	A10: Mapa webu	
de-DE	Deutsch	/anwendung-reise-sprachfuehrer-staaten	Anwendung des Reisesprachführers	reise, sprachfuehrer, anwendung, fremder, staat, land, sprache	Alle Länder (Staaten), in denen Sie sich in einer fremden Sprache aus unserem Reisesprachführer verständigen können	A5: Uplatnění	Anwendung
de-DE	Deutsch	/eigenschaften-sprachfuehrer	Eigenschaften von Reisesprachführer	eigenschaften, reise-sprachfuehrer	Die App Reisesprachführer für iPhone und iPad umfasst 22 Sprachen	A2: Vlastnosti	Eigenschaften der App
de-DE	Deutsch	/kontakt-phrase	Kontaktinformationen	kontakt	Schreiben Sie den Entwicklern von Reisesprachführer Ihre Anmerkungen zum Betrieb der App auf Ihrem Gerät.	A8: Kontakt	
de-DE	Deutsch	/reise-sprachfuehrer	Einführung in SmartPhrase	Reisesprachführer, einführung	Basisinformationen zum Reisesprachführer iSmartPhrase	A1: Start	Reisesprachführer
de-DE	Deutsch	/support-phrasen-android	Android: Support und FAQ Reisesprachführer	faq, support, app, android	Schreiben Sie den Entwicklern von Reisesprachführer Ihre Anmerkungen zum Betrieb der App auf Ihrem Gerät.	A42: Podpora Android	Android
de-DE	Deutsch	/support-phrasen-windows8	Windows 8: Support und FAQ Reisesprachführer	faq, support, app, Windows 8	Schreiben Sie den Entwicklern von Reisesprachführer Ihre Anmerkungen zum Betrieb der App auf Ihrem Gerät.	A41: Podpora Windows8	Windows 8
de-DE	Deutsch	/support-phrasen	Support und FAQ Reisesprachführer	faq, support, app	Wenn Sie Probleme mit der App auf dem iPhone oder dem iPad haben, fragen Sie uns und wir helfen Ihnen.	A4: Podpora	Support
de-DE	Deutsch	/wie-der-sprachfuehrer-aussieht-android	Wie schaut die Anwendung für das System Android™ aus	demo, reise-sprachfuehrer, android	Sie können KOSTENLOS und unverbindlich testen, wie die App funktioniert und was sie alles beinhaltet. Sie gehen keinerlei Risiko ein.	A32: Náhled Android	Android
de-DE	Deutsch	/wie-der-sprachfuehrer-aussieht-windows8	Wie schaut die Anwendung für das System Windows 8 aus	demo, reise-sprachfuehrer, windows8	Sie können KOSTENLOS und unverbindlich testen, wie die App funktioniert und was sie alles beinhaltet. Sie gehen keinerlei Risiko ein.	A31: Náhled W8	Windows 8
de-DE	Deutsch	/wie-der-ipad-sprachfuehrer-aussieht	Demo auf dem iPhone	demo reise-sprachfuehrer	Der Reisesprachführer auf dem iPhone oder iPad ermöglicht es, bis zu 22 Sprachen zu lernen.	A33: Náhled iOS	iOS
de-DE	Deutsch	/support-phrasen-iphone	iOS: Support und FAQ Reisesprachführer	faq support app iphone ipad	Wenn Sie Probleme mit der App auf dem iPhone oder dem iPad haben, fragen Sie uns und wir helfen Ihnen.	A43: Podpora iOS	iOS
de-DE	Deutsch	/wie-der-sprachfuehrer-aussieht	Demo auf dem Verfügung	demo, reise-sprachfuehrer	Der Reisesprachführer auf dem iPhone oder iPad ermöglicht es, bis zu 22 Sprachen zu lernen.	A3: Náhled	Ansicht der App
de-DE	Deutsch	/de-sitemap	Standortkarte	sitemap	Standortkarte	A10: Mapa webu	
en-US	English	/en-cookies	Cookies	cookies, about cookies	About cookies.	A11: O cookies	
en-US	English	/contact-phrase	Contacts	contact	Write the authors of Traveler’s phrasebook about your ideas based on your use of the application	A8: Kontakt	
en-US	English	/features-phrasebook	Features of Traveler’s phrasebook	features, phrasebook, travel	Traveler’s phrasebook contains 22 languages	A2: Vlastnosti	Features
en-US	English	/how-appears-phrasebook	Example	example, traveler’s phrasebook	Traveler’s phrasebook makes it possible to study 22 languages	A3: Náhled	Preview
en-US	English	/how-appears-phrasebook-android	Android: Example	example, traveler’s phrasebook, android	Traveler’s phrasebook makes it possible to study 22 languages	A32: Náhled Android	Android
en-US	English	/how-appears-phrasebook-windows8	Windows 8: Example	example, traveler’s phrasebook, windows 8	Traveler’s phrasebook makes it possible to study 22 languages	A31: Náhled W8	Windows 8
en-US	English	/practise-travel-phrasebook-states	Uses Traveler’s phrasebook	travel, uses, foreign, states, conversation, language, phrasebook	Every country (state) where it is possible to speak a foreign language from our Traveler’s phrasebook	A5: Uplatnění	Practical usage
en-US	English	/support-phrase	Support and FAQ Traveler’s phrasebook	FAQ, support, application	If you have trouble with the application, please ask us for help	A4: Podpora	Support
en-US	English	/support-phrase-android	Android: Support and FAQ Traveler’s phrasebook	FAQ, support, application, android	If you have trouble with the application, please ask us for help	A42: Podpora Android	Android
en-US	English	/support-phrase-windows8	Windows 8: Support and FAQ Traveler’s phrasebook	FAQ, support, application, windows 8	If you have trouble with the application, please ask us for help	A41: Podpora Windows8	Windows 8
en-US	English	/trademark	Trademarks	trademark	About trademarks.	A12: Trademarks	
en-US	English	/how-appears-ipad-phrasebook	Example on iPhone	example demo traveler’s phrasebook	Traveler’s phrasebook on iPhone or iPad makes it possible to study 22 languages	A33: Náhled iOS	iOS
en-US	English	/support-phrase-iphone	iOS: Support and FAQ Traveler’s phrasebook	FAQ support application iphone ipad	If you have trouble with the application on iPhone or iPad, please ask us for help	A43: Podpora iOS	iOS
en-US	English	/travel-phrasebook	Introduction to SmartPhrase	conversation, introduction, travel	Basic information about Traveler’s phrasebook SmartPhrase	A1: Start	Traveler’s phrasebook
en-US	English	/service-page	Service page	service, page, service page	Service page to the web Pub English	A13: Servisní stránka	
en-US	English	/en-sitemap	Site map	sitemap	Site map	A10: Mapa webu	
es-ES	Español	/caracteristicas-conversacion	Características del Diccionario de viaje	características, conversación, viaje	La aplicación del Diccionario de viaje contiene 22 lenguas	A2: Vlastnosti	Características
es-ES	Español	/como-es-conversacion	Aplicación vista previa	muestra, conversación de viaje, diccionario	El Diccionario de viaje permite estudiar hasta 22 lenguas	A3: Náhled	Vista preliminar
es-ES	Español	/como-es-conversacion-android	Android: Aplicación vista previa	muestra, conversación de viaje, diccionario, android	La aplicación del Diccionario de viaje contiene 22 lenguas	A32: Náhled Android	Android
es-ES	Español	/como-es-conversacion-windows8	Windows 8: Aplicación vista previa	muestra, conversación de viaje, diccionario, Windows 8	La aplicación del Diccionario de viaje contiene 22 lenguas	A31: Náhled W8	Windows 8
es-ES	Español	/contacto-frase	Contactos	contacto	Escribe a los autores del Diccionario de viaje cualquier experiencia del funcionamiento de la aplicación	A8: Kontakt	
es-ES	Español	/diccionario-de-viaje	Introducción a SmartPhrase	conversación, introducción de viaje, diccionario	Información básica acerca del Diccionario de viaje SmartPhrase	A1: Start	Diccionario de viaje
es-ES	Español	/soporte-frase-android	Android: Soporte y FAQ del Diccionario de viaje	faq, soporte, aplicación, android	Si tiene usted problemas con la aplicación, contáctenos y nosotros le aconsejaremos	A42: Podpora Android	Android
es-ES	Español	/soporte-frase-windows8	Windows 8: Soporte y FAQ del Diccionario de viaje	faq, soporte, aplicación, windows 8	Si tiene usted problemas con la aplicación, contáctenos y nosotros le aconsejaremos	A41: Podpora Windows8	Windows 8
es-ES	Español	/soporte-frase	Soporte y FAQ del Diccionario de viaje	faq, soporte, aplicación	Si tiene usted problemas con la aplicación, contáctenos y nosotros le aconsejaremos	A4: Podpora	Soporte
es-ES	Español	/como-es-ipad-conversacion	Muestra en iPhone	muestra demo conversación de viaje diccionario	El Diccionario de viaje en iPhone o iPad permite estudiar hasta 22 lenguas	A33: Náhled iOS	iOS
es-ES	Español	/soporte-frase-iphone	iOS: Soporte y FAQ del Diccionario de viaje	faq soporte aplicación iphone ipad	Si tiene usted problemas con la aplicación para iPhone o iPad, contáctenos y nosotros le aconsejaremos	A43: Podpora iOS	iOS
es-ES	Español	/uso-diccionario-de-viaje-paises	El uso del Diccionario de viaje	de viaje, uso extranjero, estado, país, conversación, lengua	Todos los países (estados) donde se comunica usted en la lengua extranjera gracias a nuestro Diccionario de viaje	A5: Uplatnění	Uso
es-ES	Español	/es-sitemap	Mapa del sitio	sitemap	Mapa del sitio	A10: Mapa webu	
fr-FR	Français	/application-conversation-voyage-etats	Utilisations de conversation de voyage	voyage, utlisations, état, étrangers, converation, langue	Tous les pays (les États) où vous pouvez parler en langue étrangère avec nos Conversations de voyage.	A5: Uplatnění	Application
fr-FR	Français	/a-quoi-ressemble-conversations	Exemple	exemple de conversation de voyage	Conversation de voyage permet d´étudier jusqu'à 22 langues	A3: Náhled	Apperçus
fr-FR	Français	/a-quoi-ressemble-conversations-android	Android: Exemple	exemple de conversation de voyage, android	Conversation de voyage permet d´étudier jusqu'à 22 langues	A32: Náhled Android	Android
fr-FR	Français	/a-quoi-ressemble-conversations-windows8	Windows 8: Exemple	exemple de conversation de voyage, windows 8	Conversation de voyage permet d´étudier jusqu'à 22 langues	A31: Náhled W8	Windows 8
fr-FR	Français	/phrase-contact	Contacts	contact	Écrivez aux auteurs des Conversations de voyage sur vos idées du fonctionnement de l´application	A8: Kontakt	
fr-FR	Français	/proprietes-conversation	Propriétés de Conversation de voyage	les propriétés des conversations de voyage	Conversation de voyage comprend 22 langues	A2: Vlastnosti	Propriétés
fr-FR	Français	/soutien-phrases	Soutien et FAQ de Conversation de voyage	FAQ, soutien, application	Si vous avez des problèmes avec l'application, demandez-nous et nous vous conseillerons	A4: Podpora	Soutien
fr-FR	Français	/soutien-phrases-android	Android: Soutien et FAQ de Conversation de voyage	FAQ, soutien, application, android	Si vous avez des problèmes avec l'application, demandez-nous et nous vous conseillerons	A42: Podpora Android	Android
fr-FR	Français	/soutien-phrases-windows8	Windows 8: Soutien et FAQ de Conversation de voyage	FAQ, soutien, application, windows 8	Si vous avez des problèmes avec l'application, demandez-nous et nous vous conseillerons	A41: Podpora Windows8	Windows 8
fr-FR	Français	/a-quoi-ressemble-conversations-ipad	Exemple sur iPhone	exemple démo de conversation de voyage	Conversation de voyage sur iPhone ou iPad permet d´étudier jusqu'à 22 langues	A33: Náhled iOS	iOS
fr-FR	Français	/soutien-phrases-iphone	iOS: Soutien et FAQ de Conversation de voyage	FAQ soutien application iphone ipad	Si vous avez des problèmes avec l'application sur iPhone ou iPad, demandez-nous et nous vous conseillerons	A43: Podpora iOS	iOS
fr-FR	Français	/voyage-conversation	Introduction à SmartPhrase	conversation, introduction, voyage	Informations de base sur Conversation de voyage SmartPhrase	A1: Start	Conversation de voyage
fr-FR	Français	/fr-sitemap	Plan du site	sitemap	Plan du site	A10: Mapa webu	
hr-HR	Hrvatski	/fraze-kontakt	Kontakti	kontakt	Autorima Priručnika za konverzaciju napišite bilo kakva vaša saznanja o radu aplikacije	A8: Kontakt	
hr-HR	Hrvatski	/kako-izgleda-frazeologija	Primjerak	primjerka, frazeološki, priručnik	Priručnik za konverzaciju omogućuje učenje 22 stranih jezika	A3: Náhled	Prikaz
hr-HR	Hrvatski	/kako-izgleda-frazeologija-android	Android: Primjerak	primjerka, frazeološki, priručnik, android	Priručnik za konverzaciju omogućuje učenje 22 stranih jezika	A32: Náhled Android	Android
hr-HR	Hrvatski	/kako-izgleda-frazeologija-windows8	Windows 8: Primjerak	primjerka, frazeološki, priručnik, windows 8	Priručnik za konverzaciju omogućuje učenje 22 stranih jezika	A31: Náhled W8	Windows 8
hr-HR	Hrvatski	/podrska-fraze	Podrška i FAQ Priručnika za konverzaciju	faq, podrška, aplikacija	U slučaju problema s aplikacijom, pitajte nas, mi ćemo vas savjetovati	A4: Podpora	Podrška
hr-HR	Hrvatski	/podrska-fraze-android	Android: Podrška i FAQ Priručnika za konverzaciju	faq, podrška, aplikacija, android	U slučaju problema s aplikacijom, pitajte nas, mi ćemo vas savjetovati	A42: Podpora Android	Android
hr-HR	Hrvatski	/podrska-fraze-windows8	Windows 8: Podrška i FAQ Priručnika za konverzaciju	faq, podrška, aplikacija, windows 8	U slučaju problema s aplikacijom, pitajte nas, mi ćemo vas savjetovati	A41: Podpora Windows8	Windows 8
hr-HR	Hrvatski	/primjena-prirucnik-za-konverzaciju	Primjena Priručnika za konverzaciju	primjena, putovanje, strana, zemlja, razgovor, jezik	Sve zemlje (države), gdje se možete sporazumjeti stranim jezikom iz našeg Priručnika za konverzaciju.	A5: Uplatnění	Primjena
hr-HR	Hrvatski	/prirucnik-za-konverzaciju	Uvod do SmartPhrase	frazeologija, priručnik, uvod	Osnovne informacije o priručniku za konverzaciju SmartPhrase	A1: Start	Priručnik za konverzaciju
hr-HR	Hrvatski	/kako-izgleda-ipad-frazeologija	Primjerak za iPhone	primjerka demo verzije frazeološki priručnik	Priručnik za konverzaciju za iPhone ili iPad omogućuje učenje 22 stranih jezika	A33: Náhled iOS	iOS
hr-HR	Hrvatski	/podrska-fraze-iphone	iOS: Podrška i FAQ Priručnika za konverzaciju	faq podrška aplikacija iphoneipad	U slučaju problema s aplikacijom na iPhone ili iPad, pitajte nas, mi ćemo vas savjetovati	A43: Podpora iOS	iOS
hr-HR	Hrvatski	/svojstva-konverzacija	Svojstva Priručnika za konverzaciju	Svojstva, frazeologija, priručnik	Aplikacija Priručnika za konverzaciju sadrži 22 jezika	A2: Vlastnosti	Svojstva
hr-HR	Hrvatski	/hr-sitemap	Mapu web-lokacije	sitemap	Mapu web-lokacije	A10: Mapa webu	
it-IT	Italiano	/assistenza-espressione	Assistenza e FAQ Conversazione da Viaggio	faq, assistenza, applicazione	Se siete in difficoltà con l’applicazione non esitate a contattarci, saremo lieti di fornirvi il supporto richiesto	A4: Podpora	Assistenza
it-IT	Italiano	/assistenza-espressione-android	Android: Assistenza e FAQ Conversazione da Viaggio	faq, assistenza, applicazione, android	Se siete in difficoltà con l’applicazione non esitate a contattarci, saremo lieti di fornirvi il supporto richiesto	A42: Podpora Android	Android
it-IT	Italiano	/assistenza-espressione-windows8	Windows 8:Assistenza e FAQ Conversazione da Viaggio	faq, assistenza, applicazione, windows 8	Se siete in difficoltà con l’applicazione non esitate a contattarci, saremo lieti di fornirvi il supporto richiesto	A41: Podpora Windows8	Windows 8
it-IT	Italiano	/contatto-espressione	Contatti	contatto	Scrivete agli ideatori di Conversazione da Viaggio le vostre opinioni sul funzionamento dell’applicazione	A8: Kontakt	
it-IT	Italiano	/conversazione-da-viaggio	Introduzione all‘SmartPhrase	conversazione, introduzione, viaggio	Informazioni base sull‘applicazione Conversazione da Viaggio dell‘SmartPhrase	A1: Start	Conversazione da Viaggio
it-IT	Italiano	/presentazione-conversazione-android	Android: Dimonstrazione	dimostrazione, conversazione, viaggio, android	Conversazione da Viaggio permette di studiare fino a 22 lingue	A32: Náhled Android	Android
it-IT	Italiano	/presentazione-conversazione-windows8	Windows 8: Dimostrazione	dimostrazione, conversazione, viaggio, windows 8	Útiszótár 22 nyelv tanulását teszi lehetővé.	A31: Náhled W8	Windows 8
it-IT	Italiano	/presentazione-conversazione	Dimostrazione	dimostrazione, conversazione, viaggio	Conversazione da Viaggio permette di studiare fino a 22 lingue	A3: Náhled	Profilo dell’applicazione
it-IT	Italiano	/proprieta-conversazione	Proprietà Conversazione da Viaggio	proprietà, convesazione, viaggio	L‘applicazione Conversazione da Viaggio contiene 22 lingue	A2: Vlastnosti	Applicazione proprietà
it-IT	Italiano	/presentazione-conversazione-ipad	Dimostrazione sull’iPhone	dimostrazione demo conversazione viaggio	A iPhone-on vagy az iPad-en használt Útiszótár 22 nyelv tanulását teszi lehetővé.	A33: Náhled iOS	iOS
it-IT	Italiano	/assistenza-espressione-iphone	iOS: Assistenza e FAQ Conversazione da Viaggio	faq assistenza applicazione iphone ipad	Se siete in difficoltà con l’applicazione sull’iPhone o sull’iPad, non esitate a contattarci, saremo lieti di fornirvi il supporto richiesto	A43: Podpora iOS	iOS
it-IT	Italiano	/utilizzo-conversazione-viaggio-stati	Uso di Conversazione da Viaggio	viaggio, utlilizzo, estero, stato, paese, conversazione, lingua	Tutti i paesi (gli stati) dove potete comunicare nelle rispettive lingue usando la nostra applicazione Conversazione da Viaggio	A5: Uplatnění	Utilizzo
it-IT	Italiano	/it-sitemap	Mappa del sito	sitemap	Mappa del sito	A10: Mapa webu	
hu-HU	Magyar	/ervenyesites-utiszotar-orszagok	Az útiszótár alkalmazása	utazási, alkalmazás, idegen, ország, beszélt, nyelv, útiszótár	Minden ország (állam), ahol az Útiszótár nyelvei segítségükre lehetnek.	A5: Uplatnění	Érvényesítés
hu-HU	Magyar	/hogy-nez-ki-utiszotar	Minta	bemutatás, demo, minta, utazási, társalgás	Útiszótár - 22 nyelv tanulását teszi lehetővé.	A3: Náhled	Alkalmazás kinézete
hu-HU	Magyar	/hogy-nez-ki-utiszotar-android	Android: Hogy Néz ki Útiszótár	bemutatás, minta, utazási, társalgás	Android: Útiszótár - 22 nyelv tanulását teszi lehetővé.	A32: Náhled Android	Android
hu-HU	Magyar	/hogy-nez-ki-utiszotar-windows8	Windows 8: Hogy Néz ki Útiszótár	bemutatás, minta, utazási, társalgás	מאפשר ללמוד עד 22 שפות שיחון לתייר עבור	A31: Náhled W8	Windows 8
hu-HU	Magyar	/kapcsolat-kifejezes	Kapcsolatok	kapcsolat	Az Útiszótár teljes, 22 nyelvet tartalmazó kollekciójával 215 országban értetheti meg magát.	A8: Kontakt	
hu-HU	Magyar	/segitseg-kifejezes	Támogatás az útiszótár használatához és FAQ	faq, támogatás, alkalmazása	Ha problémái vannak az Útiszótár alkalmazásával, kérdezzenek meg bennünket és mi adunk tanácsot	A4: Podpora	Támogatás
hu-HU	Magyar	/segitseg-kifejezes-android	Android: Támogatás az útiszótár használatához és FAQ	faq, támogatás, android, alkalmazása	Ha problémái vannak az Útiszótár alkalmazásával, kérdezzenek meg bennünket és mi adunk tanácsot	A42: Podpora Android	Android
hu-HU	Magyar	/segitseg-kifejezes-windows8	Window 8: Támogatás az útiszótár használatához és FAQ	faq, támogatás, windows8, alkalmazása	Ha problémái vannak az Útiszótár alkalmazásával, kérdezzenek meg bennünket és mi adunk tanácsot	A41: Podpora Windows8	Windows 8
hu-HU	Magyar	/utiszotar	Bevezetés az SmartPhrase-hez	bevezetés, utazási, társalgás, útiszótár	Általános információk a SmartPhrase útiszótárhoz	A1: Start	Útiszótár
hu-HU	Magyar	/hogy-nez-ki-ipad-utiszotar	Minta az iPhone-on	bemutatás demo minta utazási társalgás	מאפשר ללמוד עד 22 שפות iPad או iPhone שיחון לתייר עבור	A33: Náhled iOS	iOS
hu-HU	Magyar	/segitseg-kifejezes-iphone	iOS: Támogatás az útiszótár használatához és FAQ	faq támogatás iphone ipad alkalmazása	Ha problémái vannak az iPhone vagy iPad alkalmazásával, kérdezzenek meg bennünket és mi adunk tanácsot	A43: Podpora iOS	iOS
hu-HU	Magyar	/utiszotar-tulajdonsagai	Útiszótár tulajdonságai	utazási, társalgás, tulajdonságok, útiszótár	Az Útiszótár teljes, 22 nyelvet tartalmazó kollekciójával 215 országban értetheti meg magát.	A2: Vlastnosti	Az alkalmazás tulajdonságai
hu-HU	Magyar	/hu-sitemap	Helyszíni térkép	sitemap	Helyszíni térkép	A10: Mapa webu	
nl-NL	Nederlands	/contact-uitdrukking	Contacten	contact	Schrijf aan de auteurs van de Conversatiegids welke ervaring ook met het gebruik van applicatie	A8: Kontakt	
nl-NL	Nederlands	/conversatiegids	Inleiding tot SmartPhrase	conversatie, inleiding, reis	Basis informatie over reisconversatie SmartPhrase	A1: Start	Conversatiegids
nl-NL	Nederlands	/eigenschappen-conversatie	Eigenschappen Conversatiegids	Eigenschappen, conversatie, reis	Applicatie van de Conversatiegids bevat 22 talen	A2: Vlastnosti	Eigendommen van de applicatie
nl-NL	Nederlands	/hoe-ziet-de-conversatie-eruit-android	Android: Voorbeeld	voorbeeld, reisconversatie, conversatiegids, android	De conversatiegids maakt het mogelijk om tot 22 talen te bestuderen	A32: Náhled Android	Android
nl-NL	Nederlands	/hoe-ziet-de-conversatie-eruit-windows8	Windows 8: Voorbeeld	voorbeeld, reisconversatie, conversatiegids, windows 8	De conversatiegids maakt het mogelijk om tot 22 talen te bestuderen	A31: Náhled W8	Windows 8
nl-NL	Nederlands	/hoe-ziet-de-conversatie-eruit	Voorbeeld	voorbeeld, reisconversatie, conversatiegids	De conversatiegids maakt het mogelijk om tot 22 talen te bestuderen	A3: Náhled	Inzage applicatie
nl-NL	Nederlands	/ondersteuning-uitdrukkingen-android	Android: FAQ / Ondersteuning	faq, ondersteuning, applicatie, android	Indien u problemen met de applicatie, hebt vraag de hulp aan ons	A42: Podpora Android	Android
nl-NL	Nederlands	/ondersteuning-uitdrukkingen-windows8	Windows 8: FAQ / Ondersteuning	faq, ondersteuning, applicatie, windows 8	Indien u problemen met de applicatie, hebt vraag de hulp aan ons	A41: Podpora Windows8	Windows 8
nl-NL	Nederlands	/ondersteuning-uitdrukkingen	FAQ / Ondersteuning	faq, ondersteuning, applicatie	Indien u problemen met de applicatie, hebt vraag de hulp aan ons	A4: Podpora	Ondersteuning
nl-NL	Nederlands	/hoe-ziet-de-ipad-conversatie-eruit	Voorbeeld op iPhone	voorbeeld van de demo reisconversatie conversatiegids	iPhone ・ iPadでご利用いただける旅行会話アプリケーションで22カ国の言語を学ぶことが可能になります。	A33: Náhled iOS	iOS
nl-NL	Nederlands	/ondersteuning-uitdrukkingen-iphone	iOS: FAQ / Ondersteuning	faq ondersteuning applicatie iphone ipad	Indien u problemen met de applicatie op de iPhone of iPad, hebt vraag de hulp aan ons	A43: Podpora iOS	iOS
nl-NL	Nederlands	/toepassing-reis-conversatie-landen	Gebruik reisconversatie	reis, gebruik, vreemd, land, conversatie, taal	Alle landen waar u zich met een vreemde taal van onze Conversatiegids verstaanbaar kan maken	A5: Uplatnění	Toepassing
nl-NL	Nederlands	/nl-sitemap	Site map	sitemap	Site map	A10: Mapa webu	
nb-NO	Norsk	/egenskaper-konversasjon	Egenskaper av Reiseordbok	egenskape,r konversasjon, reise	Applikasjon reiseordbok omfatter 22 språk	A2: Vlastnosti	Egenskaper av applikasjonen
nb-NO	Norsk	/hvordan-synes-reiseordbok	Eksempel	eksempel, reiseordbok	Reiseordbok tilbyr muligheten å lese opptil 22 språk	A3: Náhled	Prøveforestilling av applikasjonen
nb-NO	Norsk	/hvordan-synes-reiseordbok-android	Android: Eksempel	eksempel, reiseordbok, android	Reiseordbok tilbyr muligheten å lese opptil 22 språk	A32: Náhled Android	Android
nb-NO	Norsk	/hvordan-synes-reiseordbok-windows8	Windows 8: Eksempel	eksempel, reiseordbok, windows 8	Reiseordbok tilbyr muligheten å lese opptil 22 språk	A31: Náhled W8	Windows 8
nb-NO	Norsk	/kontakt-frase	Kontakter	Kontakt	Skriv til opphavsmenn av Reiseordboka om dine tanker og ideer relatert til din bruk av ap-plikasjonen	A8: Kontakt	
